"Angebote";"Visits gesamt";"Visits gesamt Inland";"Visits gesamt Anteil Inland";"Visits gesamt Ausland";"online Visits gesamt";"online Visits Inland";"online Visits Ausland";"mobile Visits gesamt";"mobile Visits Inland";"mobile Visits Ausland";"Connected TV Visits gesamt";"Connected TV Visits Inland";"Connected TV Visits Ausland";
"1&1 Internet AG ";;;;;;;;;;;;;;


"Cicero online";1.528.353;1.357.714;89 %;170.639;1.186.575;1.055.130;131.445;341.778;302.584;39.194;;;;


"CINEMA.de";798.991;646.331;81 %;152.660;515.344;407.326;108.018;283.647;239.005;44.642;;;;


"CinemaXXL.de";848.398;844.313;100 %;4.085;848.398;844.313;4.085;;;;;;;

"CINEPLEX";4.595.577;4.473.671;97 %;121.906;4.595.577;4.473.671;121.906;;;;;;;

"CineStar";3.400.227;3.282.905;97 %;117.322;3.400.227;3.282.905;117.322;;;;;;;

"CINEWEB";2.713.793;2.666.195;98 %;47.598;609.529;583.682;25.847;2.104.264;2.082.513;21.751;;;;


"CIO";605.678;498.520;82 %;107.158;450.943;368.265;82.678;154.735;130.255;24.480;;;;


"Citydome Rosenheim";104.246;101.794;98 %;2.452;104.246;101.794;2.452;;;;;;;

"CloudComputing-Insider";132.475;85.182;64 %;47.293;132.475;85.182;47.293;;;;;;;

"com-professional.de";614.003;540.834;88 %;73.169;553.688;487.969;65.719;60.315;52.865;7.450;;;;


"comedycentral.de";117.162;105.538;90 %;11.624;50.898;44.280;6.618;66.264;61.258;5.006;;;;


"competitionline -  Wettbewerbe  und Architektur";588.404;463.124;79 %;125.280;588.404;463.124;125.280;;;;;;;

"computer-automation.de";66.081;52.841;80 %;13.240;66.081;52.841;13.240;;;;;;;

"ComputerBase";9.205.460;7.666.159;83 %;1.539.301;5.920.551;4.852.242;1.068.309;3.284.909;2.813.917;470.992;;;;


"COMPUTERBILD.de";43.464.634;38.935.001;90 %;4.529.633;36.758.976;32.935.975;3.823.001;6.705.658;5.999.026;706.632;;;;


"Computerwoche Online";2.029.340;1.717.352;85 %;311.988;1.676.310;1.412.829;263.481;353.030;304.523;48.507;;;;


